_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
{'$oid': '5ff473f30a720f05230005c0'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609855987000},{'$date': 1609855987000},{'$date': 1609855988000},{'$date': 1609855988000},{'$date': 1609855988000},1800.0,{'$date': 1609855987000},1.0,FINISHED,10.0,5ff473f3c1e2d0121a9b2707
{'$oid': '5ff4ce3a0a7214ada10005d2'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879098000},{'$date': 1609879098000},{'$date': 1609879099000},{'$date': 1609879103000},{'$date': 1609879099000},750.0,{'$date': 1609804800000},2.0,FINISHED,21.0,5ff4ce3ac1e2d0121a9b2fb3
{'$oid': '5ff473a90a7214ada10005c2'},150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609855913000},{'$date': 1609855913000},{'$date': 1609855914000},{'$date': 1609855914000},{'$date': 1609855914000},275.0,{'$date': 1609394400000},5.0,FINISHED,25.0,5ff47392c3d63511e2a47881
{'$oid': '5ff473b10a7214ada10005c4'},,,{'$date': 1609855921000},{'$date': 1609855921000},{'$date': 1609855921000},{'$date': 1609855921000},{'$date': 1609855921000},250.0,{'$date': 1609567200000},5.0,FINISHED,49.95,5ff47392c3d63511e2a47881
{'$oid': '5ff475820a7214ada10005cf'},,,{'$date': 1609856386000},{'$date': 1609856386000},,{'$date': 1609856386000},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '5ff4ce550a7214ada10005db'},300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879125000},{'$date': 1609879125000},{'$date': 1609879131000},{'$date': 1609879131000},{'$date': 1609879126000},300.0,{'$date': 1609792725000},2.0,FINISHED,1.0,5ff4ce33c3d63511e2a484b6
{'$oid': '5ff4ce430a720f05230005c9'},5.0,All-receipts receipt bonus,{'$date': 1609879107000},{'$date': 1609879107000},{'$date': 1609879107000},{'$date': 1609879112000},{'$date': 1609879107000},5.0,{'$date': 1609804800000},1.0,FINISHED,29.0,5ff4ce3dc3d63511e2a484dc
{'$oid': '5ff473d40a7214ada10005c9'},5.0,All-receipts receipt bonus,{'$date': 1609855956000},{'$date': 1609855956000},{'$date': 1609855957000},{'$date': 1609855957000},{'$date': 1609855957000},5.0,{'$date': 1609855956000},1.0,FINISHED,9.99,5ff47392c3d63511e2a47881
{'$oid': '5ff4ce690a7214ada10005e2'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879145000},{'$date': 1609879145000},,{'$date': 1609879147000},{'$date': 1609879146000},810.0,{'$date': 1609792744000},5.0,FLAGGED,13.0,5ff4ce68c1e2d0121a9b3022
{'$oid': '5ff473f60a7214ada10005ce'},,,{'$date': 1609855990000},{'$date': 1609855990000},{'$date': 1609855991000},{'$date': 1609855991000},{'$date': 1609855991000},250.0,{'$date': 1609394400000},5.0,FINISHED,49.95,5ff47392c3d63511e2a47881
{'$oid': '5ff473cf0a7214ada10005c8'},5.0,All-receipts receipt bonus,{'$date': 1609855951000},{'$date': 1609855951000},{'$date': 1609855952000},{'$date': 1609855952000},{'$date': 1609855952000},305.0,{'$date': 1609769551000},1.0,FINISHED,9.99,5ff47392c3d63511e2a47881
{'$oid': '5fa5ad370a720f05ef000089'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1604693303000},{'$date': 1604693303000},{'$date': 1609880020000},{'$date': 1609880020000},{'$date': 1609880020000},9449.8,{'$date': 1604606903000},11.0,FINISHED,291.0,5fa5ad376a26f611e71ab5ef
{'$oid': '5ff4ce650a7214ada10005e1'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1609879141000},{'$date': 1609879141000},,{'$date': 1609879142000},{'$date': 1609879142000},750.0,{'$date': 1609792741000},1.0,FLAGGED,1.0,5ff4ce65c3d63511e2a4853b
