_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
{'$oid': '5fff26fb0a7214ad4c000019'},25.0,COMPLETE_NONPARTNER_RECEIPT,{'$date': 1610557179000},{'$date': 1610557179000},{'$date': 1610557181000},{'$date': 1610557185000},{'$date': 1610557181000},35.0,{'$date': 1610470779000},1.0,FINISHED,1.0,5fff2698b3348b03eb45bb10
{'$oid': '5fff564a0a7214ad4c000030'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1610569290000},{'$date': 1610569290000},{'$date': 1610569290000},{'$date': 1610569290000},{'$date': 1610569290000},50.0,{'$date': 1610482890000},1.0,FINISHED,1.0,5fff55dabd4dff11dda8f5f1
{'$oid': '5fff4c8e0a720f05f3000025'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1610566798000},{'$date': 1610566798000},{'$date': 1610566798000},{'$date': 1610566798000},{'$date': 1610566798000},50.0,{'$date': 1610480398000},1.0,FINISHED,1.0,5fff4beedf9ace121f0c17ea
{'$oid': '5fff4c810a720f05f3000023'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610566785000},{'$date': 1610566785000},{'$date': 1610566786000},{'$date': 1610566786000},{'$date': 1610566786000},250.0,{'$date': 1610480385000},1.0,FINISHED,10.0,5fff4beedf9ace121f0c17ea
{'$oid': '5fff4c8a0a7214ad4c000025'},5.0,All-receipts receipt bonus,{'$date': 1610566794000},{'$date': 1610566794000},{'$date': 1610566795000},{'$date': 1610566795000},{'$date': 1610566795000},5.0,{'$date': 1610258400000},5.0,FINISHED,49.95,5fff4beedf9ace121f0c17ea
{'$oid': '5fff4c8c0a7214ad4c000026'},5.0,All-receipts receipt bonus,{'$date': 1610566796000},{'$date': 1610566796000},{'$date': 1610566797000},{'$date': 1610566797000},{'$date': 1610566797000},5.0,{'$date': 1609567200000},5.0,FINISHED,49.95,5fff4beedf9ace121f0c17ea
{'$oid': '5fff564d0a720f05f3000038'},,,{'$date': 1610569293000},{'$date': 1610569293000},{'$date': 1610569293000},{'$date': 1610569293000},{'$date': 1610569293000},250.0,{'$date': 1610258400000},5.0,FINISHED,49.95,5fff55dabd4dff11dda8f5f1
{'$oid': '5fff26cb0a7214ad4c00000e'},150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610557131000},{'$date': 1610557131000},{'$date': 1610557133000},{'$date': 1610557133000},{'$date': 1610557133000},295.0,{'$date': 1610470731000},2.0,FINISHED,2.0,5fff2698b3348b03eb45bb10
{'$oid': '5fff4ca90a720f05f300002a'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1610566825000},{'$date': 1610566825000},{'$date': 1610566826000},{'$date': 1610566826000},{'$date': 1610566826000},100.0,{'$date': 1610566825000},1.0,FINISHED,0.99,5fff4beedf9ace121f0c17ea
{'$oid': '5fff0f8c0a7214ad28006e32'},5.0,All-receipts receipt bonus,{'$date': 1610551180000},{'$date': 1610551180000},{'$date': 1610551180000},{'$date': 1610551180000},{'$date': 1610551180000},305.0,{'$date': 1610464780000},1.0,FINISHED,1.0,5fff0f4fb3348b03eb45abb0
{'$oid': '5fff26990a720f05f300000b'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610557081000},{'$date': 1610557081000},{'$date': 1610557984000},{'$date': 1610557984000},{'$date': 1610557084000},750.0,{'$date': 1610409600000},5.0,FINISHED,50.0,5fff2698b3348b03eb45bb10
{'$oid': '5fff26c40a720f05f3000014'},5.0,All-receipts receipt bonus,{'$date': 1610557124000},{'$date': 1610557124000},{'$date': 1610557125000},{'$date': 1610557129000},{'$date': 1610557125000},5.0,{'$date': 1610496000000},3.0,FINISHED,22.0,5fff26bfb3348b03eb45bb32
{'$oid': '5fff26d70a7214ad4c00000f'},5.0,All-receipts receipt bonus,{'$date': 1610557143000},{'$date': 1610557143000},{'$date': 1610557149000},{'$date': 1610557149000},{'$date': 1610557143000},5.0,{'$date': 1610470743000},2.0,FINISHED,1.0,5fff2698b3348b03eb45bb10
{'$oid': '5fff26c60a7214ad4c00000c'},5.0,All-receipts receipt bonus,{'$date': 1610557126000},{'$date': 1610557126000},{'$date': 1610557126000},{'$date': 1610557131000},{'$date': 1610557126000},5.0,{'$date': 1610496000000},1.0,FINISHED,22.0,5fff26bfb3348b03eb45bb32
{'$oid': '5fff0f990a7214ad28006e36'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1610551193000},{'$date': 1610551193000},{'$date': 1610551195000},{'$date': 1610551195000},{'$date': 1610551195000},50.0,{'$date': 1610464793000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5fff566e0a720f05f300003f'},5.0,All-receipts receipt bonus,{'$date': 1610569326000},{'$date': 1610569326000},{'$date': 1610569326000},{'$date': 1610569326000},{'$date': 1610569326000},5.0,{'$date': 1610085600000},5.0,FINISHED,49.95,5fff55dabd4dff11dda8f5f1
{'$oid': '5fff26f10a7214ad4c000018'},,,{'$date': 1610557169000},{'$date': 1610557169000},,{'$date': 1610557169000},,8700.0,{'$date': 1613235569000},10.0,FLAGGED,290.0,5fff2698b3348b03eb45bb10
{'$oid': '5fff4c710a7214ad4c00001d'},5.0,All-receipts receipt bonus,{'$date': 1610566769000},{'$date': 1610566769000},{'$date': 1610566771000},{'$date': 1610566771000},{'$date': 1610566771000},5.0,{'$date': 1609443569000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5fff562e0a720f05f300002f'},5.0,All-receipts receipt bonus,{'$date': 1610569262000},{'$date': 1610569262000},{'$date': 1610569263000},{'$date': 1610569263000},{'$date': 1610569263000},5.0,{'$date': 1609446062000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '5fff4c960a720f05f3000027'},,,{'$date': 1610566806000},{'$date': 1610566806000},{'$date': 1610566807000},{'$date': 1610566807000},{'$date': 1610566807000},91.2,{'$date': 1610480406000},4.0,FINISHED,18.2,5fff4beedf9ace121f0c17ea
{'$oid': '5fff4c7d0a720f05f3000022'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610566781000},{'$date': 1610566781000},{'$date': 1610566782000},{'$date': 1610566782000},{'$date': 1610566782000},750.0,{'$date': 1610480381000},1.0,FINISHED,1.0,5fff4c7d61ffa811fdb0856f
{'$oid': '6000b8770a720f05f3000069'},5.0,All-receipts receipt bonus,{'$date': 1610659959000},{'$date': 1610659959000},{'$date': 1610659961000},{'$date': 1610659961000},{'$date': 1610659961000},5.0,{'$date': 1609536759000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '6000d4b10a720f05f3000076'},5.0,All-receipts receipt bonus,{'$date': 1610667185000},{'$date': 1610667185000},{'$date': 1610667185000},{'$date': 1610667190000},{'$date': 1610667185000},5.0,{'$date': 1610582400000},3.0,FINISHED,21.0,6000d4abe2571211db395b5c
{'$oid': '6000b8840a720f05f300006c'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610659972000},{'$date': 1610659972000},{'$date': 1610659972000},{'$date': 1610659972000},{'$date': 1610659972000},750.0,{'$date': 1610573572000},1.0,FINISHED,1.0,6000b884fb296c121a81ad3b
{'$oid': '6000b8280a720f05f3000061'},5.0,All-receipts receipt bonus,{'$date': 1610659880000},{'$date': 1610659880000},{'$date': 1610659881000},{'$date': 1610659881000},{'$date': 1610659881000},5.0,{'$date': 1610344800000},5.0,FINISHED,49.95,6000b7aefb296c121a8198b1
{'$oid': '6000b8810a7214ad4c00005e'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1610659969000},{'$date': 1610659969000},{'$date': 1610659970000},{'$date': 1610659970000},{'$date': 1610659970000},50.0,{'$date': 1610573569000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '6000d48d0a7214ad4c000063'},500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667149000},{'$date': 1610667149000},{'$date': 1610668051000},{'$date': 1610668051000},{'$date': 1610667151000},500.0,{'$date': 1610496000000},5.0,FINISHED,50.0,6000d46cfb296c121a81b20c
{'$oid': '6000d4b00a7214ad4c00006c'},5.0,All-receipts receipt bonus,{'$date': 1610667184000},{'$date': 1610667184000},{'$date': 1610667184000},{'$date': 1610667189000},{'$date': 1610667184000},5.0,{'$date': 1610582400000},1.0,FINISHED,20.0,6000d4abe2571211db395b5c
{'$oid': '6000d4d30a720f05f3000081'},,,{'$date': 1610667219000},{'$date': 1610667219000},,{'$date': 1610667219000},,,{'$date': 1509321600000},3.0,REJECTED,3.0,6000d46cfb296c121a81b20c
{'$oid': '6000b87d0a7214ad4c00005d'},5.0,All-receipts receipt bonus,{'$date': 1610659965000},{'$date': 1610659965000},{'$date': 1610659966000},{'$date': 1610659966000},{'$date': 1610659966000},5.0,{'$date': 1610573565000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '6000b2be0a7214ad4c00004d'},150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610658494000},{'$date': 1610658494000},{'$date': 1610658502000},{'$date': 1610660204000},{'$date': 1610658502000},682.4,{'$date': 1610582400000},21.0,FINISHED,84.78,5e27526d0bdb6a138c32b556
{'$oid': '6000c8460a720f05f300006f'},,,{'$date': 1610664006000},{'$date': 1610664006000},{'$date': 1610664015000},{'$date': 1610664017000},{'$date': 1610664015000},837.4,{'$date': 1610582400000},21.0,FINISHED,101.75,5e27526d0bdb6a138c32b556
{'$oid': '6000d4ae0a720f05f3000075'},100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667182000},{'$date': 1610667182000},{'$date': 1610667183000},{'$date': 1610667188000},{'$date': 1610667183000},100.0,{'$date': 1610582400000},4.0,FINISHED,20.0,6000d4abe2571211db395b5c
{'$oid': '6000d4aa0a720f05f3000072'},,,{'$date': 1610667178000},{'$date': 1610667178000},,{'$date': 1610667178000},,,,0.0,FLAGGED,0.0,6000d4aafb296c121a81b27e
{'$oid': '6000b9b70a720f05f300006d'},,,{'$date': 1610660279000},{'$date': 1610660279000},{'$date': 1610660286000},{'$date': 1610660289000},{'$date': 1610660286000},237.8,{'$date': 1610582400000},21.0,FINISHED,90.36,5e27526d0bdb6a138c32b556
{'$oid': '600056de0a720f05f3000049'},25.0,COMPLETE_NONPARTNER_RECEIPT,{'$date': 1610634974000},{'$date': 1610634974000},{'$date': 1610634975000},{'$date': 1610634975000},{'$date': 1610634975000},160.0,{'$date': 1610548574000},2.0,FINISHED,2.0,600056a3f7e5b011fce897b0
{'$oid': '6000b82f0a720f05f3000063'},,,{'$date': 1610659887000},{'$date': 1610659887000},{'$date': 1610659887000},{'$date': 1610659887000},{'$date': 1610659887000},250.0,{'$date': 1610172000000},5.0,FINISHED,49.95,6000b7aefb296c121a8198b1
{'$oid': '6000accd0a7214ad4c00004b'},,,{'$date': 1610656971381},{'$date': 1610656971381},,{'$date': 1610656971381},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '6000d4810a720f05f3000070'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667137000},{'$date': 1610667137000},{'$date': 1610667140000},{'$date': 1610667145000},{'$date': 1610667138000},750.0,{'$date': 1610580737000},2.0,FINISHED,11.0,6000d46cfb296c121a81b20c
{'$oid': '600057040a7214ad4c000041'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610635012000},{'$date': 1610635012000},{'$date': 1610635013000},{'$date': 1610635017000},{'$date': 1610635013000},750.0,{'$date': 1610582400000},6.0,FINISHED,25.0,60005704bd4dff11dda90a9d
{'$oid': '6000d4b50a720f05f3000078'},5.0,All-receipts receipt bonus,{'$date': 1610667189000},{'$date': 1610667189000},,{'$date': 1610667194000},,5.0,{'$date': 1610582400000},1.0,REJECTED,10.0,6000d4b5fb296c121a81b2bd
{'$oid': '6000d4ba0a720f05f300007a'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667194000},{'$date': 1610667194000},,{'$date': 1610667195000},{'$date': 1610667195000},750.0,{'$date': 1610580794000},1.0,FLAGGED,1.0,6000d4bae2571211db395b9f
{'$oid': '6000c74b0a7214ad4c000060'},,,{'$date': 1610663753595},{'$date': 1610663753596},,{'$date': 1610663753596},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '600056d60a720f05f3000047'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610634966000},{'$date': 1610634966000},,{'$date': 1610634968000},{'$date': 1610634968000},810.0,{'$date': 1610548566000},5.0,FLAGGED,13.0,600056d6bd4dff11dda90a3f
{'$oid': '6000d4900a7214ad4c000064'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667152000},{'$date': 1610667152000},{'$date': 1610667153000},{'$date': 1610667153000},{'$date': 1610667153000},350.0,{'$date': 1609977600000},1.0,FINISHED,10.0,6000d46cfb296c121a81b20c
{'$oid': '6000d4bc0a7214ad4c000070'},,,{'$date': 1610667196000},{'$date': 1610667196000},,{'$date': 1610667197000},,8700.0,{'$date': 1613345597000},10.0,FLAGGED,290.0,6000d46cfb296c121a81b20c
{'$oid': '600082b40a720f05f3000058'},,,{'$date': 1610646196000},{'$date': 1610646196000},,{'$date': 1610646391000},,,{'$date': 1610582400000},4.0,REJECTED,4.0,5e56d38507a0df22a15dfc85
{'$oid': '6000d4ac0a7214ad4c000069'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610667180000},{'$date': 1610667180000},{'$date': 1610667181000},{'$date': 1610667185000},{'$date': 1610667181000},250.0,{'$date': 1610582400000},3.0,FINISHED,23.0,6000d4abe2571211db395b5c
{'$oid': '600056da0a720f05f3000048'},5.0,All-receipts receipt bonus,{'$date': 1610634970000},{'$date': 1610634970000},{'$date': 1610634971000},{'$date': 1610634976000},{'$date': 1610634970000},5.0,{'$date': 1610548570000},2.0,FINISHED,11.0,600056a3f7e5b011fce897b0
{'$oid': '6000b8590a7214ad4c000057'},5.0,All-receipts receipt bonus,{'$date': 1610659929000},{'$date': 1610659929000},{'$date': 1610659930000},{'$date': 1610659930000},{'$date': 1610659930000},5.0,{'$date': 1610573529000},4.0,FINISHED,18.2,6000b7aefb296c121a8198b1
{'$oid': '600056ea0a720f05f300004b'},25.0,COMPLETE_NONPARTNER_RECEIPT,{'$date': 1610634986000},{'$date': 1610634986000},,{'$date': 1610634986000},,25.0,{'$date': 1610548586000},1.0,FLAGGED,1.0,600056a3f7e5b011fce897b0
{'$oid': '600205f60a7214ad4c00007b'},,,{'$date': 1610745332787},{'$date': 1610745332787},,{'$date': 1610745332787},,,,,SUBMITTED,,6000b75bbe5fc96dfee1d4d3
{'$oid': '600206000a720f05f3000087'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610745344000},{'$date': 1610745344000},{'$date': 1610745437000},{'$date': 1610745447000},{'$date': 1610745437000},855.7,{'$date': 1610150400000},86.0,FINISHED,271.63,6000b75bbe5fc96dfee1d4d3
{'$oid': '6001bb110a720f05f3000085'},,,{'$date': 1610726161788},{'$date': 1610726161788},,{'$date': 1610726161788},,,,,SUBMITTED,,6000b75bbe5fc96dfee1d4d3
{'$oid': '600208270a720f05f3000088'},500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610745895000},{'$date': 1610745895000},{'$date': 1610745979000},{'$date': 1610745989000},{'$date': 1610745979000},605.7,{'$date': 1610150400000},103.0,FINISHED,427.81,6000b75bbe5fc96dfee1d4d3
{'$oid': '6001e3a80a7214ad4c000078'},,,{'$date': 1610736550344},{'$date': 1610736550344},,{'$date': 1610736550344},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '600373700a720f05f3000091'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610838896000},{'$date': 1610838896000},{'$date': 1610839790000},{'$date': 1610839900000},{'$date': 1610839790000},2416.7,{'$date': 1610755200000},211.0,FINISHED,803.48,60037329e257124ec6b99eeb
{'$oid': '60023e8f0a720f05f300008b'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610759823000},{'$date': 1610759823000},{'$date': 1610760244000},{'$date': 1610760290000},{'$date': 1610760244000},1806.4,{'$date': 1609804800000},202.0,FINISHED,776.79,60023de5fb296c121a81b955
{'$oid': '600247cd0a7214ad4c00007e'},,,{'$date': 1610762189008},{'$date': 1610762189008},,{'$date': 1610762189008},,,,,SUBMITTED,,6002475cfb296c121a81b98d
{'$oid': '60025eb70a720f05f300008e'},,,{'$date': 1610768055941},{'$date': 1610768055941},,{'$date': 1610768055941},,,,,SUBMITTED,,60025c65fb296c4ef805d9e6
{'$oid': '60020d2a0a720f05f300008a'},300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610747178000},{'$date': 1610747178000},{'$date': 1610747385000},{'$date': 1610759601000},{'$date': 1610747385000},405.7,{'$date': 1610150400000},93.0,FINISHED,373.55,6000b75bbe5fc96dfee1d4d3
{'$oid': '6002590c0a7214ad4c000082'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610766604000},{'$date': 1610766604000},{'$date': 1610767135000},{'$date': 1610767152000},{'$date': 1610767135000},1516.9,{'$date': 1610582400000},208.0,FINISHED,746.94,600258dafb296c4ef805d9b7
{'$oid': '600254550a720f05f300008c'},,,{'$date': 1610765397711},{'$date': 1610765397711},,{'$date': 1610765397711},,,,,SUBMITTED,,6002541ae257124ec6b99a3a
{'$oid': '60024fa00a7214ad4c00007f'},,,{'$date': 1610764192583},{'$date': 1610764192583},,{'$date': 1610764192583},,,,,SUBMITTED,,60024f24e257124ec6b99a13
{'$oid': '60025f550a7214ad4c000084'},,,{'$date': 1610768213488},{'$date': 1610768213488},,{'$date': 1610768213488},,,,,SUBMITTED,,60025c65fb296c4ef805d9e6
{'$oid': '60025cb80a720f05f300008d'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610767544000},{'$date': 1610767544000},{'$date': 1610767915000},{'$date': 1610767925000},{'$date': 1610767915000},1658.3,{'$date': 1610668800000},335.0,FINISHED,1177.84,60025c65fb296c4ef805d9e6
{'$oid': '600370250a720f05f3000090'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610838053000},{'$date': 1610838053000},{'$date': 1610838543000},{'$date': 1610838569000},{'$date': 1610838543000},2685.8,{'$date': 1610755200000},240.0,FINISHED,850.49,60037005e257124ec6b99ec2
{'$oid': '6002584e0a7214ad4c000081'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610766414000},{'$date': 1610766414000},{'$date': 1610766420000},{'$date': 1610766425000},{'$date': 1610766420000},879.1,{'$date': 1610668800000},6.0,FINISHED,30.65,6002541ae257124ec6b99a3a
{'$oid': '60020af60a720f05f3000089'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610746614000},{'$date': 1610746614000},{'$date': 1610746985000},{'$date': 1610759601000},{'$date': 1610746985000},250.0,{'$date': 1610668800000},1.0,FINISHED,3.99,6000b75bbe5fc96dfee1d4d3
{'$oid': '600260210a720f05f300008f'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610768417000},{'$date': 1610768417000},{'$date': 1610768846000},{'$date': 1610768851000},{'$date': 1610768846000},3659.4,{'$date': 1610668800000},309.0,FINISHED,1043.18,60025fe0e257124ec6b99a87
{'$oid': '600498e60a720f05f3000093'},,,{'$date': 1610914022166},{'$date': 1610914022166},,{'$date': 1610914022166},,,,,SUBMITTED,,600498c4e257124ec6b9a331
{'$oid': '60037b500a7214ad4c000086'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610840912000},{'$date': 1610840912000},{'$date': 1610841795000},{'$date': 1610841862000},{'$date': 1610841795000},934.4,{'$date': 1610755200000},39.0,FINISHED,118.05,60037a94fb296c4ef805ddbe
{'$oid': '6004a5f20a7214ad4c000088'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610917362000},{'$date': 1610917362000},{'$date': 1610917784000},{'$date': 1610918055000},{'$date': 1610917784000},877.7,{'$date': 1610150400000},164.0,FINISHED,574.16,6004a5d3fb296c4ef805e256
{'$oid': '600496350a7214ad4c000087'},,,{'$date': 1610913333568},{'$date': 1610913333568},,{'$date': 1610913333568},,,,,SUBMITTED,,600495c3fb296c4ef805e1fc
{'$oid': '60048e120a720f05f3000092'},,,{'$date': 1610911250431},{'$date': 1610911250431},,{'$date': 1610911250431},,,,,SUBMITTED,,5fa32b4d898c7a11a6bcebce
{'$oid': '60049d9d0a720f05f3000094'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610915229000},{'$date': 1610915229000},{'$date': 1610916036000},{'$date': 1610916077000},{'$date': 1610916036000},922.1,{'$date': 1609459200000},212.0,FINISHED,743.79,60049cdce257124ec6b9a353
{'$oid': '6005ee0e0a7214ad4c000089'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1611001356000},{'$date': 1611001356000},,{'$date': 1611001389000},,800.0,{'$date': 1610841600000},2.0,FLAGGED,10.0,5fb0a078be5fc9775c1f3945
{'$oid': '6005b60f0a720f05f3000096'},,,{'$date': 1610987021857},{'$date': 1610987021857},,{'$date': 1610987021857},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '6004a99e0a720f05f3000095'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610918301000},{'$date': 1610918301000},{'$date': 1610918798000},{'$date': 1610982060000},{'$date': 1610918798000},1541.8,{'$date': 1610150400000},167.0,FINISHED,574.65,6004a965e257124ec6b9a39f
{'$oid': '6005f5450a720f05f3000097'},,,{'$date': 1611003203747},{'$date': 1611003203747},,{'$date': 1611003203747},,,,,SUBMITTED,,5a43c08fe4b014fd6b6a0612
{'$oid': '6001f2470a7214ad4c00007a'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1610740295000},{'$date': 1610740295000},{'$date': 1611001614000},{'$date': 1611001626000},{'$date': 1611001614000},750.0,{'$date': 1610496000000},1.0,FINISHED,1.0,5fb0a078be5fc9775c1f3945
{'$oid': '60074bbf0a720f05fa000039'},5.0,All-receipts receipt bonus,{'$date': 1611090879000},{'$date': 1611090879000},{'$date': 1611090880000},{'$date': 1611090880000},{'$date': 1611090880000},5.0,{'$date': 1611004479000},1.0,FINISHED,10.0,60074b49325c8a1794623876
{'$oid': '600741fe0a7214ad89000001'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1611088382000},{'$date': 1611088382000},{'$date': 1611088386000},{'$date': 1611088386000},{'$date': 1611088386000},1000.0,{'$date': 1610604000000},5.0,FINISHED,49.95,600741d06e6469120a787853
{'$oid': '60074b8b0a7214ad89000029'},5.0,All-receipts receipt bonus,{'$date': 1611090827000},{'$date': 1611090827000},{'$date': 1611090827000},{'$date': 1611090827000},{'$date': 1611090827000},5.0,{'$date': 1611004427000},4.0,FINISHED,4.66,60074b49325c8a1794623876
{'$oid': '6007423c0a720f05fa000001'},750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1611088444000},{'$date': 1611088444000},{'$date': 1611088445000},{'$date': 1611088445000},{'$date': 1611088445000},755.0,{'$date': 1611002044000},1.0,FINISHED,1.0,6007423b6e6469120a787c2c
{'$oid': '600748640a720f05fa000026'},,,{'$date': 1611090020000},{'$date': 1611090020000},{'$date': 1611090020000},{'$date': 1611090020000},{'$date': 1611090020000},350.0,{'$date': 1611090020000},1.0,FINISHED,9.99,600748196e64691717e8d4f0
{'$oid': '60074bbd0a7214ad89000031'},,,{'$date': 1611090877000},{'$date': 1611090877000},{'$date': 1611090877000},{'$date': 1611090877000},{'$date': 1611090877000},125.0,{'$date': 1610776800000},5.0,FINISHED,25.0,60074b49325c8a1794623876
{'$oid': '600746ce0a720f05fa000017'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1611089614000},{'$date': 1611089614000},{'$date': 1611089615000},{'$date': 1611089615000},{'$date': 1611089615000},50.0,{'$date': 1611003214000},1.0,FINISHED,1.0,6007464b6e64691717e8c1f0
{'$oid': '6007425e0a720f05fa00000a'},5.0,All-receipts receipt bonus,{'$date': 1611088478000},{'$date': 1611088478000},{'$date': 1611088479000},{'$date': 1611088479000},{'$date': 1611088479000},5.0,{'$date': 1611002078000},1.0,FINISHED,1.0,600741d06e6469120a787853
{'$oid': '60074b930a7214ad8900002d'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1611090835000},{'$date': 1611090835000},{'$date': 1611090836000},{'$date': 1611090836000},{'$date': 1611090836000},50.0,{'$date': 1611004435000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '600746fb0a7214ad8900001b'},45.0,COMPLETE_PARTNER_RECEIPT,{'$date': 1611089659000},{'$date': 1611089659000},{'$date': 1611089660000},{'$date': 1611089660000},{'$date': 1611089660000},50.0,{'$date': 1611003259000},1.0,FINISHED,1.0,54943462e4b07e684157a532
{'$oid': '600742490a720f05fa000004'},250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1611088457000},{'$date': 1611088457000},{'$date': 1611088458000},{'$date': 1611088458000},{'$date': 1611088458000},250.0,{'$date': 1610776800000},5.0,FINISHED,25.0,600741d06e6469120a787853
{'$oid': '60074bcb0a7214ad89000037'},5.0,All-receipts receipt bonus,{'$date': 1611090891000},{'$date': 1611090891000},{'$date': 1611090891000},{'$date': 1611090891000},{'$date': 1611090891000},5.0,{'$date': 1611004491000},1.0,FINISHED,1.0,60074b49325c8a1794623876
{'$oid': '6007424d0a720f05fa000006'},150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",{'$date': 1611088461000},{'$date': 1611088461000},{'$date': 1611088461000},{'$date': 1611088461000},{'$date': 1611088461000},150.0,{'$date': 1611002061000},1.0,FINISHED,10.0,600741d06e6469120a787853
{'$oid': '60074b900a7214ad8900002b'},5.0,All-receipts receipt bonus,{'$date': 1611090832000},{'$date': 1611090832000},{'$date': 1611090833000},{'$date': 1611090833000},{'$date': 1611090833000},5.0,{'$date': 1609967632000},1.0,FINISHED,1.0,54943462e4b07e684157a532
